Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos,departamento_normalizado,ciudad_normalizado,DEPARTAMENTO,MUNICIPIO,TOTAL,TOPE GASTOS,MAX_CURUL,GERENTE DE CAMPAÑA,TOPE DONACIONES,Indice_Gastos,Indice_Donaciones,Indice_Cumplimiento_Total,Cluster,Anomaly_Label_x,Anomaly,Anomaly_Label_y
fernando_alipio_solano_gomez,Alcaldia_fun,M,Huila,Tello,Coalicion Politica,TELLO MERECE MAS,10.0,0.0,0.0,0.0,14000000.0,0.0,0.0,500000.0,24759997.0,0.0,0.0,39259997.0,0.0,0.0,0.0,0.356597072587652,0.0,0.0,0.0127356097352732,0.6306673176770747,0.0,0.0,5.0,35000000.0,15500000.0,0.0,0.0,0.0,0.0,0.0,50500000.0,0.693069306930693,0.3069306930693069,0.0,0.0,0.0,0.0,0.0,huila,tello,HUILA,TELLO,11253.0,144319596.0,1.0,NO,14431959.6,0.2720351088011637,1.0740052237951108,0.6730201662981372,0,Normal,1.0,Normal
fernando_alvarez_martinez,Alcaldia_fun,M,Santander,Galán,Coalicion Politica,SIGAMOS ADELANTE POR GALAN,75.0,1693368.0,2843923.0,0.0,3948562.0,19261892.0,0.0,500000.0,15339680.0,0.0,0.0,43587425.0,0.038849920590629,0.0652464099450701,0.0,0.0905894762078741,0.4419139694533457,0.0,0.0114711984018326,0.3519290254012482,0.0,0.0,1.0,38876225.0,500000.0,0.0,0.0,0.0,0.0,0.0,39376225.0,0.9873019823510252,0.0126980176489747,0.0,0.0,0.0,0.0,0.0,santander,galan,SANTANDER,GALAN,2584.0,144319596.0,1.0,NO,14431959.6,0.3020201428501781,0.0346453297998422,0.1683327363250102,0,Normal,1.0,Normal
fernando_amador_mercado_polo,Alcaldia_fun,M,Atlántico,Suan,Agrupacion Politica,MOVIMIENTO FUERZA CIUDADANA,4.0,0.0,0.0,6069000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6069000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7854000.0,0.0,0.0,0.0,0.0,0.0,0.0,7854000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,atlantico,suan,ATLANTICO,SUAN,11609.0,144319596.0,1.0,NO,14431959.6,0.0420525013110485,0.0,0.0210262506555242,0,Normal,1.0,Normal
fernando_andres_valencia_vallejo,Alcaldia_fun,M,Antioquia,Rionegro,Coalicion Politica,TOLA PRIMERO LA GENTE,106.0,35999000.0,25481804.0,21176900.0,91337334.0,31660000.0,72446000.0,27000000.0,372489092.0,1576008.0,43049000.0,722215138.0,0.0498452581590722,0.0352828439328559,0.029322149157167,0.1264683183641603,0.0438373530741472,0.1003108300950623,0.0373849820910289,0.5157591864268013,0.0021821863279747,0.0596068923717298,34.0,428834000.0,217500000.0,0.0,0.0,87360000.0,0.0,0.0,733694000.0,0.5844861754355358,0.2964451119949188,0.0,0.0,0.1190687125695453,0.0,0.0,antioquia,rionegro,ANTIOQUIA,RIONEGRO,119671.0,1647076017.0,1.0,SI,164707601.70000002,0.4384831850781541,1.320521929498777,0.8795025572884654,1,Normal,-1.0,Anomalía
fernando_antonio_jaramillo_jimenez,Alcaldia_fun,M,Antioquia,Toledo,Agrupacion Politica,"PARTIDO DE LA UNION POR LA GENTE ""PARTIDO DE LA U""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,antioquia,toledo,ANTIOQUIA,TOLEDO,4684.0,144319596.0,1.0,NO,14431959.6,0.004157439575981,0.0,0.0020787197879905,0,Anomalía,1.0,Normal
fernando_burbano_samboni,Alcaldia_fun,M,Huila,San Agustin,Agrupacion Politica,PARTIDO POLITICO TODOS SOMOS COLOMBIA,8.0,4000000.0,1500000.0,31610000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37110000.0,0.1077876583131231,0.0404203718674211,0.8517919698194557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29450000.0,0.0,0.0,0.0,0.0,0.0,0.0,29450000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,huila,san agustin,HUILA,SAN AGUSTIN,26700.0,274894466.0,1.0,SI,27489446.6,0.1349972610943721,0.0,0.067498630547186,0,Normal,1.0,Normal
fernando_caballero_garcia,Alcaldia_fun,M,Cesar,Aguachica,Agrupacion Politica,MOVIMIENTO POLITICO COLOMBIA HUMANA,8.0,11900000.0,100000.0,7000000.0,3767000.0,231200.0,250000.0,0.0,0.0,0.0,0.0,23248200.0,0.5118675854474755,0.0043014082810712,0.3010985796749856,0.1620340499479529,0.0099448559458366,0.010753520702678,0.0,0.0,0.0,0.0,11.0,19000000.0,9000000.0,1200000.0,0.0,0.0,0.0,0.0,29200000.0,0.6506849315068494,0.3082191780821918,0.0410958904109589,0.0,0.0,0.0,0.0,cesar,aguachica,CESAR,AGUACHICA,76228.0,824683400.0,1.0,SI,82468340.0,0.0281904546641777,0.1091327896256915,0.0686616221449346,0,Normal,1.0,Normal
fernando_carlos_tinoco_tamara,Alcaldia_fun,M,Bolívar,Cartagena,Agrupacion Politica,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""",9.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bolivar,cartagena,BOLIVAR,CARTAGENA,838717.0,2465931344.0,1.0,SI,246593134.4,0.0081105258865633,0.0,0.0040552629432816,1,Normal,1.0,Normal
fernando_casallas_moreno,Alcaldia_fun,M,Cundinamarca,Venecia,Coalicion Politica,PARTIDO DE LA UNION POR LA GENTE- PARTIDO DE LA U/ PARTIDO CAMBIO RADICAL,6.0,2000000.0,0.0,0.0,10272700.0,2650000.0,0.0,0.0,0.0,0.0,0.0,14922700.0,0.1340240036990625,0.0,0.0,0.6883941913996797,0.1775818049012578,0.0,0.0,0.0,0.0,0.0,1.0,14922700.0,0.0,0.0,0.0,0.0,0.0,0.0,14922700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cundinamarca,venecia,CUNDINAMARCA,VENECIA,3901.0,144319596.0,1.0,NO,14431959.6,0.1034003726008213,0.0,0.0517001863004106,0,Anomalía,1.0,Normal
fernando_david_murgueitio_cardenas,Alcaldia_fun,M,Valle del Cauca,Yumbo,Coalicion Politica,LA FUERZA DEL AMOR,6.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,23111317.0,112602.26,0.0,28723919.26,0.191478048319789,0.0,0.0,0.0,0.0,0.0,0.0,0.804601795138175,0.0039201565420359,0.0,6.0,3223524.0,5500000.0,20000000.0,395.39,0.0,0.0,0.0,28723919.39,0.1122243784433625,0.1914780474531891,0.6962838089206879,1.3765182760457538e-05,0.0,0.0,0.0,valle,yumbo,VALLE,YUMBO,107587.0,1647076017.0,1.0,SI,164707601.70000002,0.0174393403604516,0.033392508562038,0.0254159244612448,1,Normal,1.0,Normal
