Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos
jair_acevedo_cavadia,Alcaldia_fun,M,Bolívar,San Pablo,Coalicion Politica,EL CAMBIO ES TUS MANOS,6.0,4622865.0,314800.0,0.0,13209200.0,12000000.0,0.0,9000000.0,26114000.0,0.0,0.0,65260865.0,0.07083671048491312,0.004823717859087525,0.0,0.20240614340615926,0.18387742791947365,0.0,0.13790807093960522,0.4001479293907612,0.0,0.0,2.0,65260865.0,0.0,0.0,0.0,0.0,0.0,0.0,65260865.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jair_albeiro_remolina_ruiz,Alcaldia_fun,M,Santander,Cabrera,Agrupacion Politica,PARTIDO CAMBIO RADICAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,1095000.0,0.0,0.0,1595000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31347962382445144,0.6865203761755486,0.0,0.0,1.0,1905000.0,0.0,0.0,0.0,0.0,0.0,0.0,1905000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jair_antonio_vargas_camargo,Alcaldia_fun,M,Cundinamarca,Pandi,Agrupacion Politica,PARTIDO CAMBIO RADICAL,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jair_diaz_diaz,Alcaldia_fun,M,Caquetá,El Doncello,Coalicion Politica,UNIDAD CIUDADANA POR EL DONCELLO,31.0,13800000.0,0.0,15326216.0,10750000.0,35147096.0,0.0,0.0,45220000.0,0.0,0.0,120243312.0,0.11476729782692613,0.0,0.1274600287124493,0.08940206171300405,0.2922997995930119,0.0,0.0,0.37607081215460864,0.0,0.0,17.0,42000000.0,85800000.0,0.0,0.0,0.0,0.0,0.0,127800000.0,0.3286384976525822,0.6713615023474179,0.0,0.0,0.0,0.0,0.0
jair_edilson_bohorquez_parra,Alcaldia_fun,M,Boyacá,San Eduardo,Agrupacion Politica,"PARTIDO DE LA UNION POR LA GENTE ""PARTIDO DE LA U""",10.0,500000.0,1350000.0,0.0,27640000.0,4500000.0,0.0,300000.0,4403200.0,0.0,0.0,38693200.0,0.012922167202505866,0.03488985144676584,0.0,0.7143374029545243,0.1162995048225528,0.0,0.00775330032150352,0.11379777325214767,0.0,0.0,5.0,25693200.0,10000000.0,0.0,0.0,0.0,0.0,0.0,35693200.0,0.719834590342138,0.280165409657862,0.0,0.0,0.0,0.0,0.0
jair_jose_martinez_meza,Alcaldia_fun,M,Cesar,Pelaya,Agrupacion Politica,MOVIMIENTO POLITICO COLOMBIA HUMANA,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jair_monroy_rojas,Alcaldia_fun,M,Valle del Cauca,La Victoria,Agrupacion Politica,PARTIDO COLOMBIA RENACIENTE,10.0,8350000.0,823900.0,17939000.0,27486000.0,0.0,1351000.0,6000000.0,9351000.0,0.0,0.0,71300900.0,0.11710932120071416,0.011555253860750707,0.2515957021580373,0.385493030242255,0.0,0.01894786741822333,0.08415041044362694,0.13114841467639257,0.0,0.0,3.0,70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,70000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jair_mosquera_cordoba,Alcaldia_fun,M,Chocó,Alto Baudo,Agrupacion Politica,MOVIMIENTO POLITICO COLOMBIA HUMANA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jair_rodriguez_gonzalez,Alcaldia_fun,M,Cundinamarca,Villa de San Diego de Ubate,Agrupacion Politica,MOVIMIENTO ALIANZA DEMOCRATICA AMPLIA,15.0,179999.0,118700.0,2157900.0,0.0,202200.0,14000000.0,0.0,2750000.0,0.0,0.0,19408799.0,0.00927409264220831,0.006115782846738739,0.11118153163418303,0.0,0.010417955278943328,0.7213223239624461,0.0,0.14168831363548048,0.0,0.0,3.0,20000000.0,900000.0,0.0,0.0,0.0,0.0,0.0,20900000.0,0.9569377990430622,0.0430622009569378,0.0,0.0,0.0,0.0,0.0
jair_wilson_andrade_jurado,Alcaldia_fun,M,Nariño,Linares,Coalicion Politica,UNIDOS HAREMOS HISTORIA,1.0,0.0,0.0,0.0,21500000.0,16500000.0,0.0,1500000.0,35000000.0,0.0,0.0,74500000.0,0.0,0.0,0.0,0.28859060402684567,0.2214765100671141,0.0,0.020134228187919462,0.4697986577181208,0.0,0.0,3.0,33000000.0,41500000.0,0.0,0.0,0.0,0.0,0.0,74500000.0,0.4429530201342282,0.5570469798657718,0.0,0.0,0.0,0.0,0.0
