Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos,departamento_normalizado,ciudad_normalizado,DEPARTAMENTO,MUNICIPIO,TOTAL,TOPE GASTOS,MAX_CURUL,GERENTE DE CAMPAÑA,TOPE DONACIONES,Indice_Gastos,Indice_Donaciones,Indice_Cumplimiento_Total
jhon_jairo_fuentes_quinayas,Alcaldia_fun,M,Cauca,Patía,Agrupacion Politica,"MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL ""MAIS""",3.0,1885500.0,0.0,547500.0,41092000.0,75000.0,0.0,0.0,0.0,0.0,0.0,43600000.0,0.0432454128440367,0.0,0.012557339449541285,0.9424770642201835,0.0017201834862385322,0.0,0.0,0.0,0.0,0.0,5.0,20000000.0,33600000.0,0.0,0.0,0.0,0.0,0.0,53600000.0,0.373134328358209,0.6268656716417911,0.0,0.0,0.0,0.0,0.0,cauca,patia (el bordo),CAUCA,PATIA (EL BORDO),28005.0,274894466.0,1.0,SI,27489446.6,0.15860632130731944,1.222287246772003,0.6904467840396612
jhon_jairo_giraldo_posada,Alcaldia_fun,M,Antioquia,Yalí,Agrupacion Politica,PARTIDO CAMBIO RADICAL,32.0,0.0,0.0,0.0,6656070.0,18560.0,0.0,900000.0,0.0,0.0,0.0,7574630.0,0.0,0.0,0.0,0.8787320304754159,0.0024502847003748038,0.0,0.11881768482420924,0.0,0.0,0.0,7.0,11309780.0,0.0,0.0,0.0,0.0,0.0,0.0,11309780.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,antioquia,yali,ANTIOQUIA,YALI,6476.0,144319596.0,1.0,NO,14431959.600000001,0.05248511089235588,0.0,0.02624255544617794
jhon_jairo_gonzalez_diaz,Alcaldia_fun,M,Magdalena,Zona Bananera,Agrupacion Politica,PARTIDO POLITICO DIGNIDAD & COMPROMISO,3.0,0.0,0.0,0.0,1850000.0,0.0,0.0,1000000.0,4470000.0,14206.0,0.0,7334206.0,0.0,0.0,0.0,0.25224271039019086,0.0,0.0,0.1363474110217248,0.6094729272671098,0.0019369513209746222,0.0,2.0,13670000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,14670000.0,0.9318336741649625,0.0681663258350375,0.0,0.0,0.0,0.0,0.0,magdalena,zona bananera (sevilla),MAGDALENA,ZONA BANANERA (SEVILLA),49555.0,274894466.0,1.0,SI,27489446.6,0.026680078747019956,0.036377596630119136,0.031528837688569546
jhon_jairo_gutierrez_peñaloza,Alcaldia_fun,M,Meta,Cabuyaro,Coalicion Politica,PA LANTE CABUYARO,3.0,2000000.0,20000000.0,0.0,0.0,0.0,0.0,4000000.0,10000000.0,0.0,0.0,36000000.0,0.05555555555555555,0.5555555555555556,0.0,0.0,0.0,0.0,0.1111111111111111,0.2777777777777778,0.0,0.0,6.0,0.0,36000000.0,0.0,0.0,0.0,0.0,0.0,36000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,meta,cabuyaro,META,CABUYARO,5899.0,144319596.0,1.0,NO,14431959.600000001,0.24944637455886448,2.4944637455886447,1.3719550600737547
jhon_jairo_gutierrez_pretel,Alcaldia_fun,M,Chocó,El Litoral del San Juan,Coalicion Politica,EL PACTO ES CON EL PUEBLO,23.0,4375000.0,0.0,0.0,12207200.0,68795000.0,0.0,775800.0,18847000.0,0.0,15310000.0,120310000.0,0.03636439198736597,0.0,0.0,0.10146454991272547,0.5718144792619068,0.0,0.006448341783725376,0.15665364475105975,0.0,0.1272545923032167,6.0,35000000.0,70000000.0,0.0,0.0,0.0,0.0,0.0,105000000.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,choco,el litoral del san juan,CHOCO,EL LITORAL DEL SAN JUAN,8552.0,144319596.0,1.0,NO,14431959.600000001,0.8336359256438052,4.85034617197792,2.8419910488108626
jhon_jairo_lozano_baca,Alcaldia_fun,M,Cesar,San Diego,Agrupacion Politica,PARTIDO NUEVO LIBERALISMO,10.0,12000000.0,0.0,4250000.0,4000000.0,0.0,0.0,0.0,3000000.0,0.0,3000000.0,26250000.0,0.45714285714285713,0.0,0.1619047619047619,0.1523809523809524,0.0,0.0,0.0,0.11428571428571428,0.0,0.11428571428571428,5.0,11750000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,17750000.0,0.6619718309859155,0.3380281690140845,0.0,0.0,0.0,0.0,0.0,cesar,san diego,CESAR,SAN DIEGO,16248.0,144319596.0,1.0,NO,14431959.600000001,0.181887981449172,0.41574395759810745,0.29881596952363976
jhon_jairo_perez_martinez,Alcaldia_fun,M,Antioquia,Campamento,Agrupacion Politica,PARTIDO ALIANZA VERDE,1.0,0.0,0.0,0.0,0.0,3800000.0,0.0,1500000.0,0.0,0.0,0.0,5300000.0,0.0,0.0,0.0,0.0,0.7169811320754716,0.0,0.2830188679245283,0.0,0.0,0.0,1.0,5300000.0,0.0,0.0,0.0,0.0,0.0,0.0,5300000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,antioquia,campamento,ANTIOQUIA,CAMPAMENTO,7235.0,144319596.0,1.0,NO,14431959.600000001,0.036724049587832826,0.0,0.018362024793916413
jhon_jairo_sandoval_sandoval,Alcaldia_fun,M,Santander,San Miguel,Coalicion Politica,RENACIENTE SAN MIGUEL POR UN MEJOR MAÑANA,32.0,24900000.0,0.0,0.0,32803750.0,0.0,0.0,5813226.0,13199500.0,0.0,0.0,76716476.0,0.3245717386705823,0.0,0.0,0.42759719567932186,0.0,0.0,0.07577545663072428,0.17205560901937153,0.0,0.0,4.0,98812952.0,0.0,0.0,0.0,0.0,0.0,0.0,98812952.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,santander,san miguel,SANTANDER,SAN MIGUEL,2249.0,144319596.0,1.0,NO,14431959.600000001,0.5315735224203372,0.0,0.2657867612101686
jhon_james_ducuara_gomez,Alcaldia_fun,M,Tolima,Ortega,Agrupacion Politica,PARTIDO ALIANZA VERDE,4.0,0.0,0.0,0.0,3500000.0,0.0,0.0,1500000.0,1000000.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,1.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,tolima,ortega,TOLIMA,ORTEGA,23790.0,144319596.0,1.0,NO,14431959.600000001,0.04157439575981075,0.0,0.020787197879905375
jhon_kennedy_wilchez_carreño,Alcaldia_fun,M,Casanare,Yopal,Agrupacion Politica,PARTIDO POLITICO LA FUERZA DE LA PAZ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,29050008.0,218436.0,0.0,32268444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09297008557338557,0.9002605765558451,0.00676933787076935,0.0,3.0,13000000.0,9400000.0,0.0,0.0,0.0,0.0,0.0,22400000.0,0.5803571428571429,0.41964285714285715,0.0,0.0,0.0,0.0,0.0,casanare,yopal,CASANARE,YOPAL,126215.0,1647076017.0,1.0,SI,164707601.70000002,0.019591350773702634,0.05707083281511954,0.03833109179441109
